,DSI,link,title
10,DSI-10,https://www.nbcnews.com/politics/donald-trump/trump-back-twitter-vows-2nd-amendment-will-never-be-repealed-n860661?cid=public-rss_20180329,"Trump, back on Twitter, vows 2nd Amendment 'will never be repealed'"
11,DSI-11,https://www.nbcnews.com/politics/white-house/hhs-agrees-protect-some-funds-teen-pregnancy-prevention-program-n860581?cid=public-rss_20180329,HHS agrees to protect some funds for teen pregnancy prevention program
12,DSI-12,https://www.nbcnews.com/politics/congress/vulnerable-senate-democrats-feel-heat-2020-hopefuls-n859621?cid=public-rss_20180329,Vulnerable Senate Democrats feel the heat from 2020 hopefuls
13,DSI-13,https://www.nbcnews.com/politics/elections/facing-gop-attacks-more-democratic-candidates-ditch-pelosi-n860451?cid=public-rss_20180329,"Facing GOP attacks, more Democratic candidates ditch Pelosi"
14,DSI-14,https://www.nbcnews.com/politics/politics-news/pence-laces-north-dakota-sen-heitkamp-private-event-n860586?cid=public-rss_20180329,Pence laces into North Dakota Sen. Heitkamp at private event
15,DSI-15,https://www.nbcnews.com/politics/politics-news/democrats-vow-fight-trump-administration-over-census-citizenship-question-n860341?cid=public-rss_20180329,Democrats vow to fight Trump administration over census citizenship question
16,DSI-16,https://www.nbcnews.com/politics/supreme-court/supreme-court-takes-new-look-partisan-gerrymandering-n860121?cid=public-rss_20180329,Supreme Court seems unsure about cure for partisan gerrymandering
17,DSI-17,https://www.nbcnews.com/politics/politics-news/retired-justice-john-paul-stevens-urges-repeal-2nd-amendment-n860326?cid=public-rss_20180329,Retired Justice John Paul Stevens urges repeal of 2nd Amendment
18,DSI-18,https://www.nbcnews.com/politics/white-house/white-house-probing-huge-loans-kushner-family-firm-n860356?cid=public-rss_20180329,White House probing huge loans to Kushner family firm
19,DSI-19,https://www.nbcnews.com/politics/donald-trump/fec-ruling-stormy-daniels-payment-could-take-year-or-longer-n860231?cid=public-rss_20180329,FEC ruling on Stormy Daniels payment could take a year or longer
20,DSI-20,https://www.nbcnews.com/politics/white-house/u-s-expels-dozens-russian-diplomats-after-chemical-attack-ex-n860001?cid=public-rss_20180329,U.S. expels dozens of Russian diplomats in response to attack on ex-spy in Britain
21,DSI-21,https://www.nbcnews.com/politics/white-house/trump-replaces-embattled-va-secretary-personal-physician-n859496?cid=public-rss_20180329,Trump replaces embattled Veterans Affairs secretary with White House physician
22,DSI-22,https://www.nbcnews.com/politics/congress/women-senators-demand-vote-sexual-harassment-bill-n860706?cid=public-rss_20180329,Women senators demand vote on sexual harassment bill
23,DSI-23,https://www.nbcnews.com/politics/first-read/primary-season-upon-us-here-are-10-contests-watch-n860306?cid=public-rss_20180329,Primary season is upon us. Here are 10 contests to watch.
24,DSI-24,https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-gop-pointing-fingers-trump-ahead-n860301?cid=public-rss_20180329,First Read's Morning Clips: GOP pointing fingers at Trump ahead of midterms
25,DSI-25,https://www.nbcnews.com/politics/donald-trump/trump-tells-aides-not-talk-publicly-about-russia-policy-moves-n861256?cid=public-rss_20180330,Trump tells aides not to talk publicly about Russia policy moves
26,DSI-26,https://www.nbcnews.com/politics/politics-news/fact-check-7-things-trump-didn-t-get-quite-right-n861316?cid=public-rss_20180330,Fact check: 7 things Trump didn't get quite right in rally-style Ohio speech
27,DSI-27,https://www.nbcnews.com/politics/justice-department/sessions-no-special-counsel-probe-alleged-fbi-political-bias-us-n861306?cid=public-rss_20180330,"Sessions: No special counsel to probe alleged FBI political bias, but U.S. attorney investigating"
28,DSI-28,https://www.nbcnews.com/politics/white-house/after-week-away-cameras-trump-cuts-loose-n861251?cid=public-rss_20180330,"After a week away from the cameras, Trump cuts loose"
29,DSI-29,https://www.nbcnews.com/politics/politics-news/russia-expel-diplomats-close-u-s-consulate-tit-tat-over-n861211?cid=public-rss_20180330,"Russia retaliates: Expels U.S. diplomats, closes consulate after ex-spy poisoning"
30,DSI-30,https://www.nbcnews.com/news/us-news/how-does-u-s-decide-which-russians-throw-out-country-n860916?cid=public-rss_20180330,How does the U.S. decide which Russians to throw out of the country?
31,DSI-31,https://www.nbcnews.com/politics/supreme-court/supreme-court-set-decide-if-states-can-tax-internet-sales-n861186?cid=public-rss_20180330,Supreme Court set to decide if states can tax Internet sales
32,DSI-32,https://www.nbcnews.com/politics/white-house/trump-replaces-embattled-va-secretary-personal-physician-n859496?cid=public-rss_20180330,Trump replaces embattled Veterans Affairs secretary with White House physician
33,DSI-33,https://www.nbcnews.com/politics/donald-trump/trump-called-roseanne-barr-congratulate-her-show-reboot-n861061?cid=public-rss_20180330,Trump called Roseanne Barr to congratulate her on show reboot
34,DSI-34,https://www.nbcnews.com/business/business-news/donald-trump-going-after-amazon-jeff-bezos-again-n861066?cid=public-rss_20180330,"Donald Trump is going after Amazon and Jeff Bezos, again"
35,DSI-35,https://www.nbcnews.com/politics/first-read/pardon-discussions-open-new-questions-about-russia-probe-n861086?cid=public-rss_20180330,Pardon discussions open up new questions about Russia probe
36,DSI-36,https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-obama-enters-2018-fray-n861081?cid=public-rss_20180330,First Read's Morning Clips: Obama enters 2018 fray
37,DSI-37,https://www.nbcnews.com/politics/politics-news/judge-rejects-trump-request-toss-lawsuit-accusing-him-violating-constitution-n860921?cid=public-rss_20180330,Judge rejects Trump request to toss lawsuit accusing him of violating Constitution
38,DSI-38,https://www.nbcnews.com/politics/politics-news/james-baker-china-holds-key-denuclearization-north-korea-n860846?cid=public-rss_20180330,James Baker: China holds key to denuclearization of North Korea
39,DSI-39,https://www.nbcnews.com/politics/politics-news/last-place-trump-lawyer-michael-cohen-wants-be-courtroom-n860831?cid=public-rss_20180330,Last place Trump lawyer Michael Cohen wants to be is a courtroom
40,DSI-40,https://www.nbcnews.com/politics/white-house/former-trump-lawyer-reportedly-floated-pardons-manafort-gates-n860936?cid=public-rss_20180330,"Former Trump lawyer reportedly floated pardons for Manafort, Flynn"
41,DSI-41,https://www.nbcnews.com/politics/donald-trump/mueller-trump-campaign-s-gates-knew-he-was-speaking-russian-n860861?cid=public-rss_20180330,Mueller: Trump campaign's Gates knew he was speaking to Russian intel agent
42,DSI-42,https://www.nbcnews.com/pop-culture/tv/former-disney-star-caroline-sunshine-joins-trump-administration-n860736?cid=public-rss_20180330,Former Disney star Caroline Sunshine joins Trump administration
43,DSI-43,https://www.nbcnews.com/politics/congress/women-senators-demand-vote-sexual-harassment-bill-n860706?cid=public-rss_20180330,Women senators demand vote on sexual harassment bill
44,DSI-44,https://www.nbcnews.com/politics/politics-news/trump-s-legal-team-elevates-andrew-ekonomou-little-known-atlanta-n860676?cid=public-rss_20180330,"Trump's legal team elevates Andrew Ekonomou, little-known Atlanta attorney"
45,DSI-45,https://www.nbcnews.com/politics/first-read/record-number-women-are-running-office-how-are-they-faring-n860691?cid=public-rss_20180330,A record number of women are running for office. How are they faring so far?
46,DSI-46,https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-more-dem-candidates-abandon-pelosi-n860686?cid=public-rss_20180330,First Read's Morning Clips: More Dem candidates abandon Pelosi
47,DSI-47,https://www.nbcnews.com/politics/donald-trump/stormy-daniels-lawyer-files-motion-depose-trump-lawyer-michael-cohen-n860656?cid=public-rss_20180330,"Stormy Daniels' lawyer files motion to depose Trump, lawyer Michael Cohen"
48,DSI-48,https://www.nbcnews.com/politics/politics-news/donald-trump-jr-eric-trump-hit-back-jeb-bush-after-n861156?cid=public-rss_20180330,"Donald Trump Jr., Eric Trump hit back at Jeb Bush after perceived dig"
49,DSI-49,https://www.nbcnews.com/politics/politics-news/fired-va-head-shulkin-says-political-appointees-were-focused-privatization-n861351?cid=public-rss_20180330,Fired VA head Shulkin says political appointees were focused on privatization
50,DSI-50,https://www.nbcnews.com/politics/first-read/majority-americans-are-ready-protest-here-s-what-s-got-n861296?cid=public-rss_20180330,A majority of Americans are ready to protest. Here's what's got them fired up.
51,DSI-51,https://www.nbcnews.com/politics/politics-news/gofundme-page-fired-fbi-no-2-mccabe-legal-defense-fund-n861581?cid=public-rss_20180330,GoFundMe page for fired FBI No. 2 McCabe legal defense fund nears $500K
52,DSI-52,https://www.nbcnews.com/politics/white-house/trump-ally-detained-served-mueller-subpoena-boston-airport-n861456?cid=public-rss_20180330,"Trump ally detained, served with Mueller subpoena at Boston airport"
53,DSI-53,https://www.nbcnews.com/politics/elections/former-maryland-gov-martin-o-malley-roots-against-gerrymander-he-n861551?cid=public-rss_20180330,Former Maryland Gov. Martin O'Malley roots against gerrymander he helped engineer
