,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25
midterm,6,election,5,0.0030105368790767687,0.7160033436347992,0.0021555544715548395,1.0,,0.003745318352059925,,,0.004830917874396135,,,,0.03571428571428571,,,,,,,,,,,,,0.009345794392523364,0.03278688524590164,,,
reelection,5,election,4,0.002508780732563974,0.8129133566428556,0.002039421366389502,1.0,,0.003745318352059925,,,,,,,,,,,,,,,0.034482758620689655,,,,,0.009345794392523364,,,,0.018018018018018018
business,5,economy,4,0.002508780732563974,0.8129133566428556,0.002039421366389502,1.0,,,,,0.00966183574879227,,,0.02564102564102564,,0.022222222222222223,,,,,,,,,0.01694915254237288,,,,,,,
nevada,5,unitedStates,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.04504504504504504
world,5,internationalPolitics,3,0.002508780732563974,0.9378520932511555,0.00235286526154329,1.0,,0.003745318352059925,,0.025974025974025976,,,,0.05128205128205128,,,,,,,,,,,,,,,,,,
markPenn,5,democrat,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,,,,,0.1282051282051282,,,,,,,,,,,,,,,,,,
stephenReinhardt,5,judicial,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,,,,,,,,,,,,,,,,,0.15625,,,,,,
fundraiser,5,election,2,0.002508780732563974,1.1139433523068367,0.0027946396194351146,1.0,,,,,0.014492753623188406,,,,,,,,,,,,,,,,,,,,,0.018018018018018018
bernieSanders,5,independent,4,0.002508780732563974,0.8129133566428556,0.002039421366389502,1.0,,,,,,,0.05555555555555555,,,,,,,,,,,0.016666666666666666,,,,,,,0.010101010101010102,0.009009009009009009
joeBiden,5,formerPresident,2,0.002508780732563974,1.1139433523068367,0.0027946396194351146,1.0,,,,,,,,,,,,,,,,,,,,,,0.009345794392523364,,,0.04040404040404041,
judge,5,judicial,2,0.002508780732563974,1.1139433523068367,0.0027946396194351146,1.0,,,,,,,,,,,,,,,,,,,,0.09375,,,0.03278688524590164,,,
stephenBoyd,5,government,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,,,,,,,,,,,,,,,,,,0.07462686567164178,,,,,
